ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=90104004fabe2502,[Search] 글로벌 콘텐츠 검색/ AI 기술 개발 신입/경력사원,네이버 대한민국,,"개발 · 대규모 로그 분석 및 관련 시스템 운영 · 콘텐츠 검색 서비스 개발 및 운영 필요역량 · C, Java, Python 등의 프로그래밍 언어 중 1 개 이상 자유자재로 다루시는 분 · Linux/Shell 및 Git..."
https://kr.indeed.com/viewjob?jk=75a4d05b001bf451,웹 개발자,Nexon 성남 분당구,,"운영 - 포털 서비스 개발 및 운영 지원자격 - 경력에 준하는 웹 개발 기본 지식을 보유 하신 분 - 웹언어 ( Java, PHP 등)을 이용한 Back-End 개발 경력이 3년 이상 또는 그에 준하는 능력을 보유하신 분..."
https://kr.indeed.com/viewjob?jk=90f722403534611c,웹 개발자,에이치제이브레인 경기도 화성,"월급 2,000,000원 - 2,200,000원","연락처, 희망연봉 기재 직무/산업 직무별(직종) 콘텐츠.사이트운영디버깅 웹프로그래머웹프로그래머, ASP, JSP, JAVA, Servlet, CORBA, PHP, CGI, XML 산업별(업종) 포털.컨텐츠.커뮤니티 포털"
https://kr.indeed.com/viewjob?jk=5e485645c4fa13e9,"응용소프트웨어 신입, 경력자",쿠노소프트 서울 성북구,,울거주자 인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C#|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux...
https://kr.indeed.com/viewjob?jk=8a3959ab234e83de,Data Platform Engineer,토스 증권 서울 강남구,,"프라인 구축을 통한 데이터 적재 및 활용 경험이 있는 분 모니터링 환경 및 자동화 구축을 위한 프로그래밍 능력( Java, Python 등)을 갖춘 분 우대 사항 하둡 에코시스템을 서비스에 맞게 재구성하거나 개선한 경험이 있는..."
https://kr.indeed.com/viewjob?jk=040dad9ade22c1f4,[IGS] 개발자 / UI 기획자,아이지에스 서울 영등포구,,"커리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹기획.웹마케팅.PMUI.IA 설계 웹프로그래머웹프로그래머, JAVA, PHP HTML코딩.퍼블리셔HTML코딩, 웹퍼블리셔 산업별(업종) 게임 게임"
https://kr.indeed.com/viewjob?jk=544f3edd3d20f184,솔루션(web) 개발자 충원,다임즈 서울 구로구,,"지원양식 커리어 온라인 이력서 전형절차 및 제출서류 전형절차 직무/산업 직무별(직종) 웹프로그래머웹프로그래머, JSP, JAVA 응용프로그래머Oracle 산업별(업종) SI.SM.ERP.CRM CRM, ERP, SI, SM"
https://kr.indeed.com/viewjob?jk=a1dcc766b229c25f,오티아이(주) SW개발 및 각 부문 신입/경력직,오티아이 대전 서구,,"진천, 원주) SW개발 - 대졸 이상 - 정보처리기사 자격증 必 - Java 및 Jsp에 대한 기본지식 보유자 - 공공기관 프로젝트 수행 유경험자... 중급 이상 - SW개발 경력 필수( Java, Jsp, Oracle, 전자정..."
https://kr.indeed.com/viewjob?jk=fd03d04c7f502a5a,중급개발자.,소명소프트 서울 송파구,"월급 2,800,000원",모집직종 JAVA 프로그래밍 언어 전문가 모집인원 1명 학력 대학_대학교 전공 고용형태 상용직 근무예정지 서울특별시 송파구 문정로5길 2F 인근지하철 직무내용 웹프로그램 서버단 프로그램 스프링 프레임워크 전자정부 프레임워크...
https://kr.indeed.com/viewjob?jk=1db71792981cc36a,증권 코어시스템 개발 및 운영인력 영입,카카오페이증권 서울 대치동,,량이 있으신 분 - 커뮤니케이션이 원활하고 논리적이고 체계적인 문제해결 역량이 있으신 분 *우대사항 - Java 개발언어 활용 능력이 있으신 분 - Spring 기반 프레임워크 활용 능력이 있으신 분 - 웹 어플리케...
